epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71856,0.9905,3.54429,1.40494,0.00687,0.41667,0.12114,0.12002,1.25231,3.678,2.00595,2e-05,2e-05,2e-05
2,2.35762,1.15262,3.7123,1.53666,0.0087,0.75,0.22499,0.22144,1.29507,3.67587,2.0925,4.901e-05,4.901e-05,4.901e-05
3,2.96464,1.2429,3.67478,1.53228,0.00846,0.75,0.28057,0.27756,1.23536,3.6597,2.02298,7.6832e-05,7.6832e-05,7.6832e-05
4,3.58234,0.98928,3.56228,1.32943,0.00855,0.75,0.28142,0.27664,1.178,3.64377,1.88079,0.000103466,0.000103466,0.000103466
5,4.19196,1.05322,3.47854,1.42243,0.01058,0.83333,0.34001,0.33334,1.23857,3.61888,1.88044,0.000128912,0.000128912,0.000128912
6,4.81537,1.09093,3.49368,1.38219,0.0085,0.75,0.33977,0.33456,1.29996,3.61884,1.9038,0.00015317,0.00015317,0.00015317
7,5.43786,1.22363,3.50276,1.48641,0.01085,0.83333,0.36889,0.33936,1.18582,3.61576,1.80322,0.00017624,0.00017624,0.00017624
8,6.06374,1.11016,3.44493,1.44068,0.01083,0.83333,0.36368,0.34361,1.46372,3.57458,2.02229,0.000198122,0.000198122,0.000198122
9,6.65724,1.32846,3.40854,1.62794,0.01083,0.83333,0.36368,0.34361,1.46372,3.57458,2.02229,0.000218816,0.000218816,0.000218816
10,7.27315,1.14043,3.24665,1.50604,0.0113,0.83333,0.37608,0.34351,1.37476,3.59264,1.92924,0.000238322,0.000238322,0.000238322
11,7.85363,1.15447,3.19976,1.47759,0.0113,0.83333,0.37608,0.34351,1.37476,3.59264,1.92924,0.00025664,0.00025664,0.00025664
12,8.47611,1.00416,3.10893,1.43304,0.01172,0.83333,0.37418,0.34498,1.28248,3.52908,1.78564,0.00027377,0.00027377,0.00027377
13,9.08035,1.32603,3.13864,1.59565,0.01172,0.83333,0.37418,0.34498,1.28248,3.52908,1.78564,0.000289712,0.000289712,0.000289712
14,9.68824,1.14277,3.14703,1.44547,0.01198,0.83333,0.39299,0.31587,1.40696,3.47714,1.84214,0.000304466,0.000304466,0.000304466
15,10.2686,1.27829,3.10446,1.53516,0.01198,0.83333,0.39299,0.31587,1.40696,3.47714,1.84214,0.000318032,0.000318032,0.000318032
16,10.8723,1.21785,3.06422,1.4846,0.01198,0.83333,0.39299,0.31587,1.40696,3.47714,1.84214,0.00033041,0.00033041,0.00033041
17,11.492,1.2823,2.99294,1.57037,0.01426,0.91667,0.40941,0.32337,1.56742,3.39328,1.91718,0.0003416,0.0003416,0.0003416
18,12.1022,1.2504,2.93371,1.4538,0.01426,0.91667,0.40941,0.32337,1.56742,3.39328,1.91718,0.000351602,0.000351602,0.000351602
19,12.7044,1.05167,2.86157,1.36706,0.01426,0.91667,0.40941,0.32337,1.56742,3.39328,1.91718,0.000360416,0.000360416,0.000360416
20,13.3065,1.28116,3.02728,1.53062,0.01373,0.91667,0.38186,0.34835,1.49622,3.32534,1.88953,0.000368042,0.000368042,0.000368042
21,13.9144,1.21567,2.77239,1.46916,0.01373,0.91667,0.38186,0.34835,1.49622,3.32534,1.88953,0.00037448,0.00037448,0.00037448
22,14.5197,1.11881,2.87339,1.51995,0.01373,0.91667,0.38186,0.34835,1.49622,3.32534,1.88953,0.00037973,0.00037973,0.00037973
23,15.1266,1.27494,2.69319,1.52691,0.01373,0.91667,0.38186,0.34835,1.49622,3.32534,1.88953,0.000383792,0.000383792,0.000383792
24,15.7507,1.26218,2.9564,1.5634,0.97848,0.33333,0.38995,0.35031,1.52485,3.17166,1.89997,0.000386666,0.000386666,0.000386666
25,16.3632,1.17265,2.69931,1.41704,0.97848,0.33333,0.38995,0.35031,1.52485,3.17166,1.89997,0.000388352,0.000388352,0.000388352
26,16.9708,1.25279,2.65169,1.56874,0.97848,0.33333,0.38995,0.35031,1.52485,3.17166,1.89997,0.00038885,0.00038885,0.00038885
27,17.5785,1.12264,2.68917,1.38464,0.97848,0.33333,0.38995,0.35031,1.52485,3.17166,1.89997,0.00038816,0.00038816,0.00038816
28,18.2011,1.13822,2.65943,1.43498,0.97848,0.33333,0.38995,0.35031,1.52485,3.17166,1.89997,0.000386282,0.000386282,0.000386282
29,18.8269,1.28152,2.79674,1.52709,0.98684,0.33333,0.36366,0.34667,1.52547,2.97556,1.95286,0.000383216,0.000383216,0.000383216
30,19.4149,1.18764,2.70416,1.50613,0.98684,0.33333,0.36366,0.34667,1.52547,2.97556,1.95286,0.000378962,0.000378962,0.000378962
31,20.0179,1.19674,2.54375,1.40205,0.98684,0.33333,0.36366,0.34667,1.52547,2.97556,1.95286,0.00037352,0.00037352,0.00037352
32,20.6282,1.1102,2.53798,1.4457,0.98684,0.33333,0.36366,0.34667,1.52547,2.97556,1.95286,0.00036689,0.00036689,0.00036689
33,21.2321,1.11902,2.57222,1.3591,0.98684,0.33333,0.36366,0.34667,1.52547,2.97556,1.95286,0.000359072,0.000359072,0.000359072
34,21.8391,1.29529,2.68219,1.52054,0.99119,0.33333,0.38724,0.35102,1.44207,2.73476,1.81357,0.0003466,0.0003466,0.0003466
35,22.4479,1.14097,2.5234,1.36727,0.99119,0.33333,0.38724,0.35102,1.44207,2.73476,1.81357,0.0003268,0.0003268,0.0003268
36,23.0509,1.1909,2.58992,1.38218,0.99119,0.33333,0.38724,0.35102,1.44207,2.73476,1.81357,0.000307,0.000307,0.000307
37,23.6593,1.27326,2.58278,1.47234,0.99119,0.33333,0.38724,0.35102,1.44207,2.73476,1.81357,0.0002872,0.0002872,0.0002872
